"","","","","","","","","",""
"Параметры:","#NULL!","Период: 12.01.2026 - 19.05.2026","#NULL!","#NULL!","#NULL!","","","",""
"","","Количество товаров: В единицах для отчетов","#NULL!","#NULL!","#NULL!","","","",""
"Отбор:","#NULL!","Номенклатура В группе из списка ""2.2 Консервы Грибные; 1.0 РУССКИЙ ПРОДУКТ; 1.7 Молоко Сгущёное; 1.8 Майонез; 1.9 Кетчуп, Соус, Горчица...; 10 Томатная паста; 11 БАКАЛЕЯ; 12 СЭНСОЙ; 13 КУНЦЕВО; 14 УВЕЛКА;...""","#NULL!","#NULL!","#NULL!","","","",""
"","","","","","","","","",""
"Артикул","","","Номенклатура.Адрес (Общие)","Номенклатура.Код","Номенклатура, Серия","","Ед. изм.","Итого","Итого"
"","","","","","","","","Количество","Количество"
"#NULL!","#NULL!","#NULL!","#NULL!","00-00000889","LAVA LAVA Комплект-стойка из 4-х предметов, ","","упак","1212121900年1月8日","1212121900年1月8日"
"#NULL!","#NULL!","#NULL!","#NULL!","00-00000525","Lava Lava стойка рекламная, ","","упак","1212121900年1月5日","1212121900年1月5日"
"#NULL!","#NULL!","#NULL!","#NULL!","00-00000888","LAVA LAVA Стрип-лента ЛТ-5, ","","упак","1212121901年7月2日","1212121901年7月2日"
"230221","","","#NULL!","00-00000535","Naturel карманы 128 * 5, ","","упак","1212121900年2月25日","1212121900年2月25日"
"220707","","","#NULL!","00-00000835","Naturel стойка 40 см, ","","упак","1212121900年1月2日","1212121900年1月2日"
"230302","","","#NULL!","00-00000534","Naturel стойка 60 см, ","","упак","1212121900年1月2日","1212121900年1月2日"
"#NULL!","#NULL!","#NULL!","#NULL!","00-00001969","Гарнец мука Льняная полуобезжиренная 0,35 кг * 6 шт пакет, ","","упак","#NULL!","#NULL!"
"379","","","#NULL!","00-00002044","ДобродеяМакароны 2 кг Завитоны  (379) 2кг*10шт, ","","упак","1212121900年1月1日","1212121900年1月1日"
"#NULL!","#NULL!","#NULL!","#NULL!","х0000007484","Коллекция Рис Сакура 500гр.х4, ","","упак","6661970年1月1日","6661970年1月1日"
"#NULL!","#NULL!","#NULL!","#NULL!","00-00001025","ЛАВ Солнечные луга МОНОЛИТ 72,5% спред 10кг., ","","упак","1212121900年1月2日","1212121900年1月2日"
"#NULL!","#NULL!","#NULL!","#NULL!","00-00002461","Майонез Махеевъ ""Оливковый"" 50,5% жирн. ДОЙ-ПАК с дозатором 770 г, ","","упак","1212121900年1月1日","1212121900年1月1日"
"#NULL!","#NULL!","#NULL!","#NULL!","х0000007051","МЖК М-з Московск. Провансаль 700мл.х12 д/п, ","","упак","#NULL!","#NULL!"
"р6101665","","","#NULL!","00-00001148","Моск.карт. Стойка (комплект: обечайка, подиум, мобайл, крышка), ","","упак","1212121900年1月2日","1212121900年1月2日"
"р6108569","","","#NULL!","00-00002207","Моск.карт. Стойка металлическая 400х450х1835, ","","упак","1212121900年1月2日","1212121900年1月2日"
"#NULL!","#NULL!","#NULL!","#NULL!","00-00000590","Нappy C возд.кук. Соль 35г.х6 пакет, ","","упак","#NULL!","#NULL!"
"#NULL!","#NULL!","#NULL!","#NULL!","00-00000908","Печагин Соус томат. Пицца соус с базиликом 5кг.х1 шт ведро, ","","упак","#NULL!","#NULL!"
"#NULL!","#NULL!","#NULL!","#NULL!","00-00001042","Поддон б/у, ","","упак","1904年3月","1904年3月"
"2700426","","","#NULL!","00-00002560","Р.П Каша овс/Лесные ягоды с молоком б/п 0,04 кг * 30 шт пакет, ","","упак","1212121900年3月2日","1212121900年3月2日"
